race_name,country,location,race_date,session_key,circuit_key,driver_number,team_name,grid_position,final_position,pit_lap,pit_duration,lap_duration_before_pit,position_before_pit,position_after_pit,pit_position_loss,compound,tire_age_at_start,stint_number,avg_lap_stint,best_lap_stint,avg_air_temp,avg_track_temp,max_rainfall
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,30,Red Bull Racing,,15,,,,12,6,-6,INTERMEDIATE,0,2,,,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,30,Red Bull Racing,,15,1.0,,,12,6,-6,INTERMEDIATE,0,3,159.223,149.147,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,4,McLaren,,1,2.0,30.311499999999995,117.43,3,5,2,INTERMEDIATE,0,2,165.8055,161.723,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,1,Red Bull Racing,,2,2.0,28.397500000000008,119.704,2,4,2,INTERMEDIATE,2,2,165.7335,162.145,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,81,McLaren,,9,2.0,27.7885,121.202,11,13,2,INTERMEDIATE,0,2,165.925,162.307,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,63,Mercedes,,3,2.0,24.362499999999983,125.09,6,8,2,INTERMEDIATE,2,2,165.2815,162.437,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,16,Ferrari,,8,2.0,21.716499999999996,128.872,4,4,0,INTERMEDIATE,2,2,164.697,162.161,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,23,Williams,,4,2.0,20.76200000000003,132.581,6,8,2,INTERMEDIATE,0,2,166.24349999999998,163.623,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,22,Racing Bulls,,12,2.0,21.276999999999987,130.964,4,6,2,INTERMEDIATE,2,2,165.5695,162.92,15.707865168539326,18.942134831460674,1
Race,Australia,Melbourne,2025-03-16T04:00:00+00:00,9693,10,10,Alpine,,11,2.0,22.647500000000008,134.433,5,7,2,INTERMEDIATE,0,2,167.101,162.892,15.707865168539326,18.942134831460674,1
